x,y,z,elevation,aspect,slope,twi
-101.375,37.125,0.112136401,960,1.435353398,0.002797498,15.34677887
-101.125,37.125,0.160304278,911,1.291842222,0.002738319,14.13932228
-100.875,37.125,0.184895456,863,1.106565714,0.004054314,12.84991264
-100.625,37.125,0.179962367,824,1.786905527,0.001116421,16.59255981
-100.375,37.125,0.253062993,725,3.82222867,0.015135827,13.63550186
-100.125,37.125,0.223736078,685,0.904822052,0.008981762,12.61599541
-99.875,37.125,0.194918543,601,1.587635279,0.0039001,14.83488941
-99.625,37.125,0.203551516,570,4.469157219,0.006361207,13.2807579
-99.375,37.125,0.215123102,595,0.850319266,0.006209282,12.05208874
-99.125,37.125,0.22779347,549,2.717559814,0.010043281,11.19626141
-98.875,37.125,0.28030771,539,1.363675356,0.020995563,10.35043907
-98.625,37.125,0.255047947,463,3.597539186,0.011336271,11.33320236
-98.375,37.125,0.252837211,417,2.689790487,0.0075303,13.69026566
-98.125,37.125,0.263091266,417,1.437476873,0.003795959,12.50340271
-97.875,37.125,0.279355437,387,4.118303299,0.002827688,13.69910622
-97.625,37.125,0.286146253,359,1.261405706,0.006685648,12.22886848
-97.375,37.125,0.280205935,369,3.080837727,0.003831952,12.40279198
-97.125,37.125,0.292369694,337,3.751395226,0.001691105,13.71571732
-96.875,37.125,0.317031592,360,2.3364048,0.011866746,12.65169907
-96.625,37.125,0.322561711,410,1.434134007,0.026394289,10.4931097
-96.375,37.125,0.316339165,299,4.074942112,0.009007785,13.78362846
-96.125,37.125,0.298803091,266,1.206142426,0.014412634,12.03497314
-95.875,37.125,0.325452596,275,3.741108656,0.013061995,10.87926674
-95.625,37.125,0.327573329,223,2.578156233,0.004933702,18.11609268
-95.375,37.125,0.32963109,267,4.857908726,0.006912049,12.11552143
-95.125,37.125,0.327277005,253,4.309252262,0.005336788,12.29317951
-94.875,37.125,0.330531985,269,3.897537947,0.00400418,13.21047401
-94.625,37.125,0.347308874,263,4.067527294,0.011832953,14.76092815
-94.375,37.125,0.352569342,298,3.742095709,0.012382464,13.0492382
-94.125,37.125,0.338889688,335,1.160075903,0.010345409,11.38648319
-101.375,36.875,0.23228845,949,1.975674629,0.002711755,15.54094028
-101.125,36.875,0.157209173,889,2.542521954,0.004571613,15.20115852
-100.875,36.875,0.193501621,838,2.006236792,0.002748719,16.67907906
-100.625,36.875,0.18298994,791,5.721837521,0.003712558,14.24073315
-100.375,36.875,0.188063443,782,3.228179216,0.010142243,11.75537205
-100.125,36.875,0.194715098,701,1.440070033,0.013795086,13.17068863
-99.875,36.875,0.20135276,646,2.651170254,0.006173988,15.1699295
-99.625,36.875,0.209392264,570,2.848125219,0.010464783,12.58645725
-99.375,36.875,0.202798203,499,2.754575253,0.007726416,19.51531219
-99.125,36.875,0.226919085,547,2.604135513,0.007679448,14.41857624
-98.875,36.875,0.285999447,532,1.719427466,0.00943806,11.19400311
-98.625,36.875,0.25240615,408,1.24497056,0.006887226,12.86786366
-98.375,36.875,0.256115496,365,2.043492794,0.001510197,18.2420063
-98.125,36.875,0.15316841,425,1.705948591,0.007116349,11.39947796
